Cell_population,Cell2_population,relativecA,relativeI,cA,irate
2.9817e+11,6.0164e+07,0.44,100,4.17e-16,1e-14
2.9817e+11,6.0164e+07,0.67,100,4.17e-16,1e-14
2.9817e+11,6.0164e+07,1,100,4.17e-16,1e-14
2.9817e+11,6.0164e+07,1.5,100,4.17e-16,1e-14
2.9817e+11,6.0164e+07,2.25,100,4.17e-16,1e-14
1.7425e+11,1.0277e+10,0.44,10,4.17e-16,1e-14
1.7425e+11,1.0277e+10,0.67,10,4.17e-16,1e-14
1.7425e+11,1.0277e+10,1,10,4.17e-16,1e-14
1.7425e+11,1.0277e+10,1.5,10,4.17e-16,1e-14
1.7425e+11,1.0277e+10,2.25,10,4.17e-16,1e-14
1.4871e+11,1.4871e+11,0.44,1,4.17e-16,1e-14
1.4871e+11,1.4871e+11,0.67,1,4.17e-16,1e-14
1.4871e+11,1.4871e+11,1,1,4.17e-16,1e-14
1.4871e+11,1.4871e+11,1.5,1,4.17e-16,1e-14
1.4872e+11,1.4872e+11,2.25,1,4.17e-16,1e-14
2.2635e+11,1.3528e+12,0.44,0.1,4.17e-16,1e-14
2.2635e+11,1.3529e+12,0.67,0.1,4.17e-16,1e-14
2.2636e+11,1.3529e+12,1,0.1,4.17e-16,1e-14
2.2637e+11,1.3531e+12,1.5,0.1,4.17e-16,1e-14
2.2639e+11,1.3533e+12,2.25,0.1,4.17e-16,1e-14
2.7283e+11,1.8442e+13,0.44,0.01,4.17e-16,1e-14
2.7288e+11,1.8455e+13,0.67,0.01,4.17e-16,1e-14
2.7294e+11,1.8474e+13,1,0.01,4.17e-16,1e-14
2.7304e+11,1.8503e+13,1.5,0.01,4.17e-16,1e-14
2.7319e+11,1.8546e+13,2.25,0.01,4.17e-16,1e-14
