Cell_population,Cell2_population,relativecA,relativeI,cA,irate
4.2507e+11,5.0265e+10,0.44,100,4.17e-16,1e-14
4.2507e+11,5.0265e+10,0.67,100,4.17e-16,1e-14
4.2507e+11,5.0265e+10,1,100,4.17e-16,1e-14
4.2507e+11,5.0265e+10,1.5,100,4.17e-16,1e-14
4.2507e+11,5.0265e+10,2.25,100,4.17e-16,1e-14
9.0547e+11,4.2523e+11,0.44,10,4.17e-16,1e-14
9.0547e+11,4.2523e+11,0.67,10,4.17e-16,1e-14
9.0549e+11,4.2524e+11,1,10,4.17e-16,1e-14
9.055e+11,4.2525e+11,1.5,10,4.17e-16,1e-14
9.0553e+11,4.2527e+11,2.25,10,4.17e-16,1e-14
2.4675e+12,2.4675e+12,0.44,1,4.17e-16,1e-14
2.4677e+12,2.4677e+12,0.67,1,4.17e-16,1e-14
2.4679e+12,2.4679e+12,1,1,4.17e-16,1e-14
2.4683e+12,2.4683e+12,1.5,1,4.17e-16,1e-14
2.4689e+12,2.4689e+12,2.25,1,4.17e-16,1e-14
4.0852e+12,7.7306e+12,0.44,0.1,4.17e-16,1e-14
4.0863e+12,7.7323e+12,0.67,0.1,4.17e-16,1e-14
4.0879e+12,7.7348e+12,1,0.1,4.17e-16,1e-14
4.0904e+12,7.7385e+12,1.5,0.1,4.17e-16,1e-14
4.0941e+12,7.7441e+12,2.25,0.1,4.17e-16,1e-14
4.6276e+12,2.5242e+13,0.44,0.01,4.17e-16,1e-14
4.633e+12,2.5275e+13,0.67,0.01,4.17e-16,1e-14
4.6409e+12,2.5322e+13,1,0.01,4.17e-16,1e-14
4.6528e+12,2.5395e+13,1.5,0.01,4.17e-16,1e-14
4.6711e+12,2.5505e+13,2.25,0.01,4.17e-16,1e-14
