Cell_population,Cell2_population,relativeChi,relativeI,Chi,irate
4.2518e+11,5.0262e+10,0.42,100,315,1e-14
4.2424e+11,5.0293e+10,5.62,100,315,1e-14
4.2507e+11,5.0265e+10,1,100,315,1e-14
4.2522e+11,5.026e+10,0.18,100,315,1e-14
4.2483e+11,5.0273e+10,2.37,100,315,1e-14
9.0588e+11,4.2515e+11,0.42,10,315,1e-14
9.0233e+11,4.2593e+11,5.62,10,315,1e-14
9.0549e+11,4.2524e+11,1,10,315,1e-14
9.0605e+11,4.2512e+11,0.18,10,315,1e-14
9.0455e+11,4.2544e+11,2.37,10,315,1e-14
2.47e+12,2.465e+12,0.42,1,315,1e-14
2.4518e+12,2.4915e+12,5.62,1,315,1e-14
2.4679e+12,2.4679e+12,1,1,315,1e-14
2.4708e+12,2.4638e+12,0.18,1,315,1e-14
2.4632e+12,2.4749e+12,2.37,1,315,1e-14
4.0908e+12,7.6983e+12,0.42,0.1,315,1e-14
4.0642e+12,8.0324e+12,5.62,0.1,315,1e-14
4.0879e+12,7.7348e+12,1,0.1,315,1e-14
4.092e+12,7.6833e+12,0.18,0.1,315,1e-14
4.081e+12,7.8216e+12,2.37,0.1,315,1e-14
4.6449e+12,2.48e+13,0.42,0.01,315,1e-14
4.6037e+12,3.0126e+13,5.62,0.01,315,1e-14
4.6409e+12,2.5322e+13,1,0.01,315,1e-14
4.6465e+12,2.4588e+13,0.18,0.01,315,1e-14
4.6308e+12,2.6622e+13,2.37,0.01,315,1e-14
